key	dnsmos	duration
7fc/e1eb04aa4296f	3.166667003537736	2.9789375
7fd/59143819765bc	3.1778786907538183	3.16825
7fe/f10f1c6e7db5b	2.8634061530309403	5.9433125
7ff/6ed14bb30e6d0	2.4660051453682734	5.2395625
7fc/673d2511cf61a	3.207142128785427	6.6550625
7fd/f733c2012ee1d	3.3569807339261066	13.9670625
7fe/6b140baffce47	3.0312430274477187	7.020875
7ff/0bb76018ea144	3.02856830942878	3.7343125
7fc/21c6bb3a65a2f	1.8258987310301615	1.2128125
7fd/ff7620ada9958	3.4686545305132332	10.6549375
7fe/3eaf04d0a6885	3.122444141374429	6.728875
7ff/418649221e62e	3.4143877735591035	3.69825
7fc/06e319d1c997f	2.8662157744281	2.2471875
7fd/20639fd30552f	2.886859484521071	1.008875
7fe/942786f96e3cb	2.8352575256434824	2.61
7ff/738360cf583de	1.5270548746794776	1.2971875
7fc/0c587b1a0798e	3.2195873159698283	6.2225
7fd/1915d12c75caf	3.224547378051046	14.3188125
7fe/875f5122280e7	3.107590141612109	5.841
7ff/989591240629c	2.6249558006786655	5.3428125
7fc/227aeb430196a	1.91924078397977	6.7368125
7fd/953df78422477	2.0664472392298014	3.580875
7fe/58d98478cd2b0	2.9130537077792438	7.145625
7ff/693b42d5a270a	3.4371039169993307	10.2671875
7fc/e40612d0176b0	3.2377022318221758	17.327375
7fd/4fe1ebd684797	3.067978973389773	3.799625
7fe/55df428d433f4	2.8133939605770775	8.9514375
7ff/d18fee2deef01	2.6504587430263085	5.2580625
7fc/2a9edd64a6e24	2.8201752018595707	6.91275
7fd/5b087287e4213	2.4237321827076648	2.0554375
7fe/161ea4473f450	2.897118930357005	10.2313125
7ff/60b5e41995df5	1.5146159835052349	0.8899375
7fc/89642c0b40346	3.2166881857052916	5.3069375
7fd/3fd62328c8ccc	3.4047525001229357	10.81375
7fe/a7504e106c81f	1.1207187114052166	4.741
7ff/9552156e12ce4	3.400744266603179	14.630125
7fc/a840d0a72fbce	3.3231766247300243	6.446375
7fd/856bfdcff7fb3	1.1392877805000774	2.211375
7fe/f6c3b2bc27f01	3.0023003855803547	4.654875
7ff/6a08fdf5beb51	2.011972158798921	2.233375
7fc/b3e47cf04ba26	3.2814181141472942	3.6791875
7fd/dc4fb0b4e4868	3.02454023197691	6.534875
7fe/f0717278f1676	1.120288490418553	5.480875
7ff/9e2e0d01bb592	3.232578235147941	3.85825
7fc/7b80614819728	2.8962484166736444	4.5939375
7fd/4fdd40691f77f	3.2582575597767325	11.783875
7fe/2b7b67591780a	3.270839274672342	6.2305625
7ff/fb68f703ef2f1	1.3245878738504369	0.9126875
7fc/887b402e7841d	2.6310519456082715	2.3158125
7fd/67a6e255aff45	2.741996391638233	11.3764375
7fe/40c61e86612f3	2.555436728236744	1.51475
7ff/c7ec0eed663ea	3.465528005979571	7.768375
7fc/228b67499c13b	3.327651556336401	7.3715
7fd/d5b485d5fd58c	2.899078184347872	14.0243125
7fe/ff962a394855b	3.5089139559290534	11.2248125
7ff/97adee9b842f2	2.6547534607724024	4.1669375
7fc/564295dc636d1	2.6816789808855157	11.8311875
7fd/869ce964798aa	3.2526741512066373	1.8275
7fe/dde705ada7128	3.3298397888098488	18.9765625
7ff/f5353e645e45b	3.2928139675488084	23.1771875
7fc/706e2b813bdec	3.239037695941945	11.194
7fd/9da4684a7d207	3.378692733795193	18.3338125
7fe/b9204069be42d	3.055695569336055	3.7270625
7ff/235eea76c0b89	3.1123479038490736	2.6916875
7fc/4b77cb136ea73	3.3843916188402683	2.50625
7fd/57ac49e1d68a6	2.88439303345444	8.2511875
7fe/1f6908cd1e9af	3.23623073078928	12.4525625
7ff/e690400e8fb8c	1.7671111582973187	4.641
7fc/f26c1626c8150	3.3048391253935785	3.3074375
7fd/eafc378551ea2	2.9100562200168834	4.584125
7fe/b3b3451251c7c	3.2933969732622974	14.6725625
7ff/6ed915d13da13	3.370298671528502	8.9145
7fc/a34b70209dfa3	3.245133344695438	5.1445
7fd/b50d242388ed9	2.45347219278062	6.2570625
7fe/348e79ed2e280	2.083433406476964	9.3790625
7ff/dddbd217a65ce	2.7565802832874557	11.902875
7fc/23d7366aaeb2f	2.6610952349474912	3.619875
7fd/60ebc04b8fcf9	3.253750693396781	7.11325
7fe/bbb9cdb226de3	3.055414391433173	3.4983125
7ff/1bcfa403dcb7e	3.0624507278134443	7.1103125
7fc/8ceb1a949c30e	2.690035957721483	1.6574375
7fd/f2c3b7a5b6ede	2.279950747808197	7.445
7fe/4bdb4fcaa9145	2.387275027974284	1.05725
7ff/dbecb37b29e9d	2.6761657901334224	7.682625
7fc/0a7279d8e9f11	2.7598472642006375	12.7725625
7fd/d5bcc8ade06f2	2.8647354831113185	14.772875
7fe/4f54ff521c6ab	3.064644828233921	2.0689375
7ff/1ed70b38967d3	3.3575285717742234	12.0134375
7fc/9b493e69541c6	2.126564275379016	2.1455625
7fd/262afacdd552d	3.1125470272044633	4.0051875
7fe/b268bc3d5e33e	2.269820746968552	4.4180625
7ff/2cb4cc17f9701	2.8633769218147074	3.3636875
7fc/d5a8654f8785a	2.482298492031825	1.4454375
7fd/13702070667a1	1.9641244813327445	22.2561875
7fe/a77673b70d710	1.8866770209669317	9.132625
7ff/6211b1d4859eb	2.303328693654896	5.924125
7fc/340d15acba644	3.3629317522698825	5.7068125
7fd/9157f5623fb57	3.3178813380385526	2.936875
7fe/dc64989455a71	2.5183102309321543	4.86425
7ff/920ab7cdc09d6	3.3562933391138636	1.3995
7fc/d07bc4642f4c1	1.7146216782954529	0.8173125
7fd/18dd5ef1876b7	2.4571928346642267	10.5685625
7fe/378150bc61bda	2.8814957565229564	4.5445
7ff/9099b4c32adf0	2.5244966586682485	14.327125
7fc/7273e40df0bb0	2.8711290320345917	8.6480625
7fd/57fd25c1eea2b	2.89220138629474	7.6825625
7fe/8f1d068519464	3.4474820049814427	11.344375
7ff/00f69ff20fc2e	3.294154272163663	16.7918125
7fc/11ce40180a011	2.9887208438351407	2.9428125
7fd/17207e6ca54a8	3.267057998952719	15.23
7fe/9cbf9a791bff9	2.0888174723966335	1.8264375
7ff/c98da76ac1a33	3.3111738107484014	12.5840625
7fc/ca85f7627b341	2.9053839439998246	4.534125
7fd/ed4d56b673ec4	2.488497392729816	2.0161875
7fe/1bcd4931075fa	2.8186407267635194	9.2746875
