key	dnsmos	duration
dc8/2627d3c32c3e6	3.101160954109048	7.0025625
dc9/e47ec63b602df	2.134743244359962	2.836625
dca/0c0816617c763	2.9229181271682907	9.0371875
dcb/fd4de5d388505	3.07854132687895	7.308
dc8/5e59df72d2ef3	2.9813944316211467	20.4983125
dc9/1910a8bd3fe7c	3.0047254128787695	11.5276875
dca/229d8730905c2	3.023152877040751	2.7710625
dcb/9620146396c95	2.88515845223586	6.059375
dc8/6334fad1a58bf	3.162461120618066	15.652875
dc9/a19ba9b2acef3	3.2169847632121837	10.65075
dca/52c70ce4cdff9	3.4137840424819896	7.9678125
dcb/7ce664eb62ea8	2.123428416297397	7.008875
dc8/2e1fca3382567	3.3163429074519413	7.498
dc9/65090caa8ef82	3.1262246943528362	8.268375
dca/1e1a97ab23b23	2.755127350414869	7.5158125
dcb/6c4456543b220	3.424410740427901	16.0690625
dc8/23d103286f2c4	2.8568230565504393	5.9398125
dc9/86d64d1b46bd4	3.1941427816133867	8.992
dca/22f8e3e0a2d5a	2.3675122186628426	5.217125
dcb/68197f8daba6b	2.5478804275892193	4.7785625
dc8/1f75c86172879	3.1680750167771374	3.7939375
dc9/354bf0c2ecf50	3.29170423981623	18.448375
dca/0516eeb744590	3.424422394017362	10.62425
dcb/cd188377cfb41	2.968505850322736	3.6331875
dc8/56bde94584e77	2.5100021311195033	4.009
dc9/f1bbf0e7da99f	3.1240090080221465	7.21675
dca/a4bc02b9af753	2.4073128370415864	3.7438125
dcb/c851bd33c1a2e	2.853636169422393	4.1635625
dc8/fa82c67ab769e	2.9965261432184676	1.444375
dc9/be543fee12ab9	2.4827086466310075	4.363875
dca/57c91996b331b	3.344931694209103	6.8253125
dcb/625885946021f	1.715593298526994	7.475875
dc8/92ed73c6c1183	2.7337335613502436	2.311625
dc9/aca9ad5c3772e	2.9948061613087176	1.8320625
dca/0a10be208973a	1.5292298662886292	3.984
dcb/2680ae458f8d8	2.121490664536288	3.64975
dc8/0aefc2725074d	3.2836390170120375	7.330375
dc9/bcd4854a20808	2.98248767937241	3.9334375
dca/e655aa092530d	2.588291960575682	10.7356875
dcb/6d916b6f6cc1d	2.35097827759876	2.1486875
dc8/1c02ed6fe0fdc	2.4235344479513268	2.9801875
dc9/65a58e70a77a3	2.8991510507126925	9.2299375
dca/d52398867be32	3.2615703175164645	4.30575
dcb/750f1bfd732a4	3.0084137150651578	2.013
dc8/a01d23c6f23e5	2.6182221328414608	2.753875
dc9/572cc872a5b13	2.9221379346430796	9.9038125
dca/da225210023b6	3.324376089079734	4.4455625
dcb/092aaa5ac8f86	3.469685407827409	12.8690625
dc8/6c3dae59f8ceb	2.231835958355185	1.6893125
dc9/18784dee7819b	3.1721513005790434	12.1833125
dca/653ebcb1ca952	3.223041317827673	2.8358125
dcb/5685a5904f907	1.8420025648581253	2.054
dc8/dea463679acee	3.1952458931354855	9.1404375
dc9/ef58d8de39012	3.37373871741371	6.857875
dca/c44d4f304db4a	3.1458351895279564	6.6070625
dcb/9c1b800a53804	3.4167366177811274	14.7589375
dc8/c495975f94e21	3.0219414331388865	2.6446875
dc9/9120dec6c6ed7	1.9961114929673278	2.883
dca/030a0a5af51c1	3.2325242111866976	1.5611875
dcb/e55bbd40c9d4a	2.8349240918907435	2.2513125
dc8/f2d8007fb783b	3.164427050513942	4.8411875
dc9/e8ad21c11de7d	3.379085498444454	12.3273125
dca/a5d47cc625675	3.0263034153921136	4.4785
dcb/e896386962170	2.7499677963096567	2.307
dc8/6b6bd2626aa65	1.8028761435889256	1.00875
dc9/d76219931e06c	3.318193942784989	6.2048125
dca/d97f61ccf9cdf	2.1601430563851323	1.586125
dcb/811a9f5e2e654	1.6628413784310108	2.0503125
dc8/93d9ef6773f96	1.9013223654098892	1.24975
dc9/82c5f2b6b88f5	3.423844327182071	12.399
dca/d0a4c36ddb46b	3.1776543209766674	10.9831875
dcb/ff974306ea6b8	3.348685351535849	9.6646875
dc8/2bc74bd0dd19e	3.2804822321164546	11.4779375
dc9/96dae5f87d98c	1.8261600097467008	1.167125
dca/42c7528594e64	2.991873771272482	3.1859375
dcb/19fbb9d5d8fc9	3.2675322113862393	7.4785625
dc8/0cb931605c24a	3.356516008241221	5.49525
dc9/5574127d3bef0	2.9100266632578933	1.345375
dca/5cd04584c8908	3.252486419440092	13.220625
dcb/198ce5a585260	2.1278979378592857	1.928875
dc8/2799cccb0f7db	3.410372588525621	9.86275
dc9/c1685d1ee10dd	2.9632450192480815	3.0075625
dca/39e3aab1676ab	3.117356555822412	7.4784375
dcb/6d8e4224ae54e	1.5922274953352906	2.1645
dc8/d8ad63d27fc67	2.821020010334468	18.23575
dc9/1112e9eb78585	3.288442690986422	7.968875
dca/9aefa2d25ec5b	3.199452882608171	17.5599375
dcb/0582efb2e3522	1.2859391064772059	1.2989375
dc8/eab4aaefbcf4e	2.4565190195052407	4.9075625
dc9/cf67b9ff07c2f	3.172545974583387	9.520625
dca/2cf208d373ab5	2.421284847732333	5.0185625
dcb/dbfa2e2e6f038	2.749165647201193	12.407875
dc8/254836beccccb	3.3380037175579487	5.700875
dc9/0502b83250b3e	2.6690592878172192	2.4434375
dca/1b551323dd3b1	3.002918844731537	1.849
dcb/5713f3941f43f	3.1296233314028226	12.728625
dc8/050636768f696	3.1582409715138073	1.9223125
dc9/6075bf5107f0f	3.0315094034777164	3.9606875
dca/477ca8e30d582	3.2789915703055588	5.1835625
dcb/d972c7c737544	3.4138154705076538	9.1813125
dc8/2602a65bd77dd	3.4024254700606504	5.7475625
dc9/5110c2d54e0ec	3.161827130781314	6.5130625
dca/044ce53dca89c	3.4528969279004045	14.322375
dcb/e63dbf91599aa	2.5471979057778955	4.2728125
dc8/f54ebbdff57cc	3.102168005825925	5.112
dc9/c81934757776e	3.3760094940069867	3.9463125
dca/24576b2f5a40b	2.8693721583551657	2.1865
dcb/3e672bdc59e51	3.0771339696234334	5.2621875
dc8/d3f0e6817bacc	2.6230386502130076	4.859875
dc9/e09a2edd0da19	2.721846407897573	16.054625
dca/54348dd655f54	3.023845950725289	8.1118125
dcb/92f87c2ddbcc3	3.19852559296261	12.9336875
dc8/611f7ebf70d24	1.762902016171341	0.8645625
dc9/313f0980e624f	2.7144344635856714	1.345375
dca/c5e97e9959daa	3.0277647517324744	14.021
dcb/f8d1646324ae7	3.272798162640682	2.049625
dc8/6c343ce919129	3.3238733064591552	14.9149375
dc9/b5cdacd6cf5fe	1.4478464355549692	4.69475
dca/2c7c8e6ab74e5	2.764615852680239	3.459625
dcb/c94558ba9ff0c	1.7457615811825757	2.571375
dc8/e09060ae7bbb2	2.9855729685815815	5.5816875
dc9/28fc69102e8fc	2.831407426203865	9.6548125
dca/f7b376d2eaaab	3.424034577354597	17.345875
dcb/0b4bbf92d44f7	3.1362790101159903	5.8801875
dc8/7156f46a534f7	2.9104987642993803	16.0250625
dc9/224019fb5e8e7	2.887533888828216	13.2753125
dca/fe2b7aaf2900d	2.7762881198111082	1.5969375
dcb/f977e44947d12	2.3442319917443	7.065875
dc8/19f57bd9c7ddb	2.9703027665473445	2.5950625
dc9/0c46d66c0c675	3.426794005102045	8.641
dca/31d96af82e4dc	3.391008494416736	9.0479375
dcb/6237ad1c95e6b	3.2483793766578817	2.7825
dc8/ed99b5dfa6dcf	1.954963721360505	3.1233125
dc9/f81bf0651ead3	2.199088500154693	2.960625
dca/8801e45b39a10	3.2217654364255566	8.4893125
dcb/07aef7aff1677	2.689006985864874	9.3096875
dc8/0d0a9a2f46940	2.4304902664932544	7.7813125
dc9/6a7df6bd927dc	2.6529571664990033	4.477875
dca/2e70c694fe865	2.4744342633670393	9.334
dcb/ea56d8f29d9c9	3.2960966529321554	10.170625
dc8/4bf4bf261b7c4	2.2635330251366423	2.936375
dc9/5e3b649d1f5b0	1.7928071804932058	1.104875
dca/f40685c52b9e1	2.3274629379606075	1.95
dcb/d547187709b89	2.8604828234613047	5.6345625
dc8/903a0a4fb7feb	3.34890117793913	5.542125
dc9/ae810b3683a2c	3.174145868757309	6.65625
dca/4a77a96bd5076	3.409425743501699	10.83825
dcb/ecfb3be2b5d8b	2.475375726517008	1.020875
dc8/58bcddce0f26e	3.469195954183842	9.33575
dc9/6fee26c896fb8	3.4038401319693934	7.4535
dca/34aabae6bd73c	2.4607256588370148	1.008875
dcb/c6589c79a55e4	2.6152871584902195	9.1661875
dc8/fe12cb3cc6569	3.123131132821114	3.661
dc9/2ac7141365a57	3.234272666134457	8.998
dca/f7a7826d0a950	2.71275159850919	3.2514375
dcb/563174f894e8b	3.0072385029232103	8.6063125
dc8/7148c353199c9	2.836041761762838	2.7896875
dc9/1430f2a30edd5	1.8701074726379403	1.4658125
dca/8e3ff4397846a	3.3181525648680505	18.5168125
dcb/1e58bdfb5c002	3.259445728958614	7.589625
dc8/389dfe99b888f	3.101225553707302	20.698
dc9/2fec12741df0b	2.6798018656359193	5.004125
dca/110d4cfab9c48	3.0929821827087016	4.7395
dcb/348efcdd06470	2.976736642926155	9.941875
dc8/d45806f0cb713	2.162749799141405	1.9419375
dc9/cd63f855c53ce	2.3381873402303626	0.8170625
dca/f1adb147c02ef	3.3258055794549146	4.866
dcb/a6485063629a3	2.5640601125105844	3.61
dc8/42a83013b37aa	2.727467509741516	6.413
dc9/128640249c8c2	2.0576036719864526	5.49875
dca/dfcba2af5df51	3.257269545396078	14.0563125
dcb/3afe3d831821e	3.5096548487516612	5.961
dc8/4d22543aa40b0	2.433735752074424	10.4535
dc9/586d2259ea8d6	3.2091847127456563	1.5910625
dca/b1c013301a359	2.286141197136394	3.6385625
